the_version,non_the_version,the_count,non_the_count
The San Francisco Bay Area Planning and Urban Research Association,San Francisco Bay Area Planning and Urban Research Association,1,173
The California Disability Services Association,California Disability Services Association,6,166
The California Asphalt Pavement Association,California Asphalt Pavement Association,2,170
The Bolsa Chica Land Trust,Bolsa Chica Land Trust,2,169
"The California Legislative Conference of the Plumbing, Heating and Piping","California Legislative Conference of the Plumbing, Heating and Piping",1,170
The California Society of Certified Public Accountants,California Society of Certified Public Accountants,1,170
The Department of Social Services,Department of Social Services,2,168
The San Francisco Bar Pilots,San Francisco Bar Pilots,3,164
The California Peace Officers,California Peace Officers,5,161
The Pest Control Operators of California,Pest Control Operators of California,2,164
The American Legion,American Legion,25,140
The Jockeys' Guild,Jockeys' Guild,16,149
The State Treasurer,State Treasurer,2,163
The Los Angeles Homeless Services Authority,Los Angeles Homeless Services Authority,1,162
The Employment Development Department,Employment Development Department,2,160
the Child Care Resource Center,Child Care Resource Center,3,158
The Academy of California Adoption Lawyers,Academy of California Adoption Lawyers,1,160
The Animal Council,Animal Council,125,35
The Education Trust-West,Education Trust-West,80,80
The Child Care Resource Center,Child Care Resource Center,1,158
"The Western Center on Law and Poverty, Inc","Western Center on Law and Poverty, Inc",1,158
the Board of Pharmacy,Board of Pharmacy,1,158
The California Work & Family Coalition,California Work & Family Coalition,2,156
The Lutheran Office of Public Policy,Lutheran Office of Public Policy,1,157
The Los Angeles Trust for Children's Health,Los Angeles Trust For Children's Health,156,1
The Church State Council,Church State Council,7,150
The Office of Criminal Justice Planning,Office of Criminal Justice Planning,1,155
The California Coalition for Children's Safety and Health,California Coalition for Children's Safety and Health,1,154
The Engineering and Utility Contractors Association,Engineering and Utility Contractors Association,4,149
The Marina Recreation Association,Marina Recreation Association,4,149
The San Francisco District Attorney's Office,San Francisco District Attorney's Office,3,150
The Armed Forces Retirees Association of California,Armed Forces Retirees Association of California,1,152
The California Association of Firearms Retailers,California Association of Firearms Retailers,2,150
The California Hunger Action Coalition,California Hunger Action Coalition,1,148
The Chinese Progressive Association,Chinese Progressive Association,1,148
The Association of American Publishers,Association of American Publishers,1,147
The California Alliance for Pride and Equality,California Alliance for Pride and Equality,1,147
The City of Stanton,City of Stanton,1,147
The Professional Fiduciary Association of California,Professional Fiduciary Association of California,1,147
the Children's Partnership,Children's Partnership,1,147
the American College of Emergency Physicians,American College of Emergency Physicians,4,143
The Asian Business Association,Asian Business Association,3,144
The American Federation of State County and Municipal Employees,American Federation of State County and Municipal Employees,1,146
The Violence Prevention Coalition of Greater Los Angeles,Violence Prevention Coalition of Greater Los Angeles,6,139
The American College of Emergency Physicians,American College of Emergency Physicians,2,143
the Biocom California,Biocom California,1,144
the National Consumer Law Center,National Consumer Law Center,1,144
The Central American Resource Center,Central American Resource Center,5,139
The City of Escondido,City of Escondido,2,142
The California Land Surveyors Association,California Land Surveyors Association,1,143
the Yocha Dehe Wintun Nation,Yocha Dehe Wintun Nation,1,143
"The American Federation of State, County & Municipal Employees","American Federation of State, County & Municipal Employees",1,142
the California African American Chamber of Commerce,California African American Chamber of Commerce,1,142
The People Concern,People Concern,139,3
the Hadassah,Hadassah,4,138
The California Self-Insurers Association,California Self-Insurers Association,1,141
The City of Daly City,City of Daly City,1,141
"The Communications Workers of America, District 9","Communications Workers of America, District 9",1,141
The California Narcotics Officers Association,California Narcotics Officers Association,1,140
The National Association,National Association,1,140
