conjoined_text,mapped_orgs
Violence Prevention Rape Trauma Service,Rape Trauma Services
County of Indivisible 30/Keep Sherman Accountable,Indivisible 30/Keep Sherman Accountable
The State Bar of California Harriett Buhai Center for,The State Bar of California ; Harriett Buhai Center for Family Law
County of Your Own Health,Your Own Health and Fitness
"League, Sierra Club",Planning and Conservation League ; Sierra Club
San Luis Obispo and Santa Barbara Counties,County of San Luis Obispo ; County of Santa Barbara
"Sheriff's Departments in Los Angeles, San Bernardino, and San Diego counties",Los Angeles County Sheriff's Department ; San Bernardino County Sheriff's Department ; San Diego County Sheriff's Department
"Police departments in San Diego, Escondido, El Cajon, Galt, and Los Altos",San Diego Police Department ; Escondido Police Department ; El Cajon Police Department ; Galt Police Department ; Los Altos Police Department
"350 Bay Area, Alameda Interfaith Climate Action Network",350 Bay Area ; Alameda County Interfaith Climate Action Network
"A Better Way, Inc., Community of Friends","A Better Way, Inc. ; Community of Friends"
AFL-CIO Cement Masons,AFL-CIO ; Cement Masons
AFL-CIO International Union of Operating Engineers,AFL-CIO ; International Union of Operating Engineers
AFL-CIO National Association of Social Workers,AFL-CIO ; National Association of Social Workers
Adventist Health and Loma Linda University Health,Adventist Health ; Loma Linda University Health
"Air Quality Coalition, Associated General",Air Quality Coalition ; Associated General Contractors
"Alameda, Kern, Los Angeles, Sacramento, Santa Cruz, and Ventura Counties",County of Alameda ; County of Kern ; County of Los Angeles ; County of Sacramento ; County of Santa Cruz ; County of Ventura
"American Civil Liberties UnionAmerican Federation of State, County and Municipal Employees","American Civil Liberties Union ; American Federation of State, County and Municipal Employees (AFSCME)"
"American Federation of State, County, Municipal Employees (AFSCME) The Greenspan Company","American Federation of State, County and Municipal Employees (AFSCME) ; The Greenspan Company"
"American Nurses Association-California, California Labor Federation",American Nurses Association-California ; California Labor Federation
American Staffing Association/California Staffing,American Staffing Association ; California Staffing Association
Area Agency on Aging/North Coast Opportunities,Area Agency on Aging ; North Coast Opportunities
Arizona State University Planning and Conservation League Positive Energy,Arizona State University ; Planning and Conservation League ; Positive Energy
Assoc. for L.A. Deputy Sheriffs CA Attys. for Criminal Justice,Association for Los Angeles Deputy Sheriffs ; California Attorneys for Criminal Justice
"Associated Builders and Contractors, San Diego, Southern and Central California Chapters","Associated Builders and Contractors, San Diego ; Associated Builders and Contractors, Southern California ; Central California Association of Builders and Contractors"
Benicia. California Specialty Extrusion Corporation,City of Benicia ; California Specialty Extrusion Corporation
Brady Campaign and Brady California,Brady Campaign to Prevent Gun Violence ; California Chapters of the Brady Campaign
"Brady Campaign to Prevent Violence, United with the Million",Brady Campaign to Prevent Gun Violence
CA Correctional Peace Officers Assn. California Taxpayers' Association,California Correctional Peace Officers Association ; California Taxpayers Association
Calif. Municipal Utilities Assn.Sierra Club of California,California Municipal Utilities Association ; Sierra Club California
California Association of Clerks and Elections Officials California State Association of Counties Counties of Alameda,California Association of Clerks and Elections Officials ; California State Association of Counties ; County of Alameda
California Association of Councils of Governments/Self Help Counties Coalition,California Association of Councils of Governments ; Self-Help Counties Coalition
"California Association of County Treasurer-Tax Collectors, California State Association of Counties",California Association of County Treasurer-Tax Collectors ; California State Association of Counties
"California Association of County Treasurers and Tax Collectors, California Association of Realtors",California Association of County Treasurers and Tax Collectors ; California Association of Realtors
California Association of Realtors Dr. Robert B. Cialdini,California Association of Realtors
"California Association of Sanitation Agencies, East",California Association of Sanitation Agencies
California California Manufacturers Association California Cast Metals Association Council of Engineers and Scientists Organizations,California Manufacturers Association ; California Cast Metals Association ; Council of Engineers and Scientists Organizations
California Cannabis Manufacturers Association and Kiva Confections,California Cannabis Manufacturers Association ; Kiva Confections
California Chamber of Commerce California Judges Association California Judicial Council Superior Courts of California for the Counties of,California Chamber of Commerce ; California Judges Association ; California Judicial Council ; Superior Courts of California
California Chamber of Commerce California Manufacturers Association,California Chamber of Commerce ; California Manufacturers Association
California Coalition for Youth\California District,California Coalition for Youth
"California Federation of Teachers, the California Teachers Association",California Federation of Teachers ; California Teachers Association
California Independent Petroleum Assn. Southern California Gas Company,California Independent Petroleum Association ; Southern California Gas Company
"California Insurance Commissioner Ricardo Lara and Generation Up, Inc","California Insurance Commissioner ; Generation Up, Inc"
California League of Conservation VotersKings County,California League of Conservation Voters ; County of Kings
California Manufacturers AssociationUnited Food and Commercial,California Manufacturers Association ; United Food and Commercial Workers
California Peace Alliance/ Department of Peacebuilding Campaign,California Peace Alliance ; Department of Peacebuilding Campaign
California Pharmacists Association/California Society of Health-System,California Pharmacists Association ; California Society of Health-System Pharmacists
California Rifle and Pistol Association California Waterfowl,California Rifle and Pistol Association ; California Waterfowl Association
"California Sheet Metal and Air Conditioning Contractors, National Association Construction Employers' Association","Sheet Metal and Air Conditioning Contractors, National Association ; Construction Employers' Association"
"California State Association of Counties, California Tax Reform Association, Rural County Representatives of California",California State Association of Counties ; California Tax Reform Association ; Rural County Representatives of California
"California State Association of Counties, League",California State Association of Counties ; League of California Cities
"Californians Against Waste, Environment California, Heal the",Californians Against Waste ; Environment California ; Heal the Bay
Cardinal Health and AmerisourceBergen,Cardinal Health ; AmerisourceBergen
Cities of Antioch,City of Antioch
Cities of Apple Valley,Town of Apple Valley
"Cities of Thousand Oaks, Encinitas, Los Angeles, Norwalk, Poway, San Carlos, San Luis Obispo, Santa Maria, Signal Hill, Tracy Kemnitzer, Dickinson, Anderson & Barron","City of Thousand Oaks ; City of Encinitas ; City of Los Angeles ; City of Norwalk ; City of Poway ; City of San Carlos ; City of San Luis Obispo ; City of Santa Maria ; City of Signal Hill ; City of Tracy ; Kemnitzer, Dickinson, Anderson & Barron"
"Cities of: Arcadia, Bellflower, Carlsbad, Chico, Chino",City of Arcadia ; City of Bellflower ; City of Carlsbad ; City of Chico ; City of Chino
Cities of: Downey,City of Downey
"Cities of: Long Beach, Palm Desert, Poway, Sacramento, San",City of Long Beach ; City of Palm Desert ; City of Poway ; City of Sacramento
City of Ventura Counties of Alameda,City of Ventura ; County of Alameda
"Clara, and Ventura, and the City of Albany",County of Santa Clara ; County of Ventura ; City of Albany
Coalition of California Welfare RightsCounty Welfare Directors,Coalition of California Welfare Rights Organizations ; County Welfare Directors Association of California
Commonweal and Californians for Juvenile Justice Reform,Commonweal ; Californians for Juvenile Justice Reform
"Congress of California Seniors, State Bar of California",Congress of California Seniors ; The State Bar of California
Consumer Attorneys of CaliforniaCA Defense Counsel,Consumer Attorneys of California ; California Defense Counsel
"Contractors, Engineering Contractors, Irvine Chamber of Commerce, Southern California General Contractors, Southern",Irvine Chamber of Commerce ; Southern California General Contractors Association
