leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
California National Organization for Women (CA NOW),14,CALIFORNIA NATIONAL ORGANIZATION FOR WOMEN,"California National Organization for Women, (CANOW)",alt(alternate_spelling),98.0,98.0
"American Federation of State, County and Municipal Employees, Local 3299",14,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, Local 3990",alt(chapter),98.6,98.6
American Academy of Pediatrics California,14,AMERICA ACADEMY OF PEDIATRICS,"America Academy of Pediatrics, California",alt(chapter),97.6,97.6
University of San Francisco School of Law | Racial Justice Clinic,13,University of San Francisco School of Law/Racial Justice Clinic,University of San Francisco School of Law/Racial Justice Clinic,canonical,98.4,96.7
Sonoma County Sheriff's Department,13,Sonoma County Sheriff-Coroner,Sonoma County Sehriff's Department,alt(alternate_spelling),97.1,97.1
"Skid Row Housing Trust, Los Angeles",13,SKID ROW HOUSING TRUST,"Skid Row Housing Trust , Los Angeles",alt(alternate_spelling),98.6,95.8
Sheriff of San Bernardino County,13,San Bernardino County Sheriff Department,Sheriffs of San Bernardino County,alt(alternate_spelling),98.5,98.5
San Bernardino Valley Audubon Society,13,National Audubon Society,San Bernardino Valley Audobon Society,alt(alternate_spelling),97.3,97.3
"Public Risk Innovation, Solutions, and Management (PRISM)",13,"PUBLIC RISK INNOVATION, SOLUTIONS AND MANAGEMENT","Public Risk Innovation, Solutions, and Management: PRISM",alt(alternate_spelling),100.0,86.7
Older Womens League of California,13,Older Womenos League,Older Womenos League of California,alt(chapter),98.5,98.5
National Organization for Women (NOW),13,NATIONAL ORGANIZATION FOR WOMEN,National Organization for Women - NOW,alt(alternate_spelling),98.6,94.6
National Association of Social Workers- California Chapter,13,"National Association of Social Worker, California Chapter",National Association of Social Worker s- California Chapter,alt(alternate_spelling),99.1,99.1
"Long Beach Fire Fighters, Local 372",13,Long Beach Fire Fighers,"Long Beach Fire Fighers, Local 372",alt(chapter),98.6,98.6
"American Federation of State, County and Municipal Employees, Local 685",13,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, Local 257",alt(chapter),97.2,97.2
American Association of University Women-California,13,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,American Association of University Women of California,alt(chapter),97.1,88.2
Wilmington Chamber of Commerce,12,Wilmington Chambers of Commerce,Wilmington Chambers of Commerce,canonical,98.4,98.4
United Teachers of Los Angeles (UTLA),12,United Teachers Los Angeles - PACE,"United Teachers of Los Angeles, UTLA",alt(alternate_spelling),100.0,82.2
Service Employees International Union (SEIU) California,12,Service Employees International Union - California (SEIU California),Service Employees International Union (SEIU of California),alt(alternate_spelling),98.2,95.6
Physicians for Social Responsibility San Francisco Bay Area Chapter,12,PHYSICIANS FOR SOCIAL RESPONSIBILITY - SAN FRANCISCO BAY AREA CHAPTER,Physicians for Social Responsibility-San Francisco Bay Area Chapter,alt(alternate_spelling),100.0,98.5
Physicians for Social Responsibility - Sacramento Chapter,12,"Sacramento Chapter for Physicians for Social Responsibility, Sacramento Chapter",Physicians for Social Responsibility Sacramento Chapter,alt(alternate_spelling),98.2,100.0
Murrieta/Wildomar Chamber of Commerce,12,Murrieta/Wildomar Chambers of Commerce,Murrieta/Wildomar Chambers of Commerce,canonical,98.7,98.7
Friends Committee On Legislation Of California,12,Fiends Committee on Legislation of California,Fiends Committee on Legislation of California,canonical,98.9,94.5
"Citizens for the ""Right to Know",12,Citizens for the Right to Know,Citizens for the Right to Know,canonical,98.4,98.4
Central Coast Alliance United for a Sustainable Economy (CAUSE),12,CENTRAL COAST ALLIANCE UNITED FOR A SUSTAINABLE ECONOMY,Central Coast Alliance United for a Sustainable Economy- CAUSE,alt(alternate_spelling),100.0,97.6
California State Teachers Retirement System,12,California State Teachers' Retirement System Board,California State Teaches' Retirement System,alt(alternate_spelling),97.7,97.7
California Fence Contractor's Association,12,California Fence Contractor Association,California Fence Contractor Association,canonical,97.5,97.5
American Council of Engineering Companies California,12,AMERICAN COUNCIL OF ENGINEERING COMPANIES,American Council Of Engineering Companies Of California,alt(chapter),97.2,98.1
Alliance for Community Transit - Los Angeles,12,ACT-LA,Alliance for Community Transit Los Angeles,alt(alternate_spelling),97.7,100.0
University Council-American Federation of Teachers,11,AMERICAN FEDERATION OF TEACHERS,University Council American Federation of Teachers,alt(chapter),100.0,84.0
Service Employees International Union - California State Council,11,"Service Employee International Union, California State Council","Service Employee International Union, California State Council",canonical,98.4,96.8
San Bernadino County Sheriff,11,San Bernadino County Sherriff,San Bernadino County Sherriff,canonical,98.2,98.2
STAND! Against Domestic Violence,11,Stand Against Domestic Violence,Stand Against Domestic Violence,canonical,98.4,89.3
Organization of Farmworker Women Leaders in California,11,Organization of Farmworker Women Leaders in California (Lideres Campesinas),Organization of Farmworkers Women Leaders in California,alt(alternate_spelling),99.1,99.1
League Of Women Voters Of California,11,League of Women Voter of California,League of Women Voter of California,canonical,98.6,89.2
Election Integrity Project California,11,Elections Integrity Project California,Elections Integrity Project California,canonical,98.7,98.7
California ProLife Council,11,California Pro-Life Council,California Pro-Life Council,canonical,98.1,98.1
California Competes: Higher Education for A Strong Economy,11,California Competes Higher Education for a Strong Economy,California Competes Higher Education for a Strong Economy,canonical,99.1,95.7
California Association of County Veterans Service,11,California Association of County Veterans Services,California Association of County Veterans Services,canonical,99.0,99.0
"Brady Campaign to Prevent Gun Violence, California Chapters",11,BRADY CAMPAIGN TO PREVENT GUN VIOLENCE,"Brady Campaign to Prevent Gun Violence, California Chapter",alt(chapter),99.1,99.1
Asociacion De Emprendedor@s,11,Associacion de Emprendedor@s,Associacion de Emprendedor@s,canonical,98.2,94.5
"Asian Americans Advancing Justice, California",11,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice of California,alt(chapter),97.8,95.7
American Red Cross California Chapter,11,California Chapters of the American Red Cross,"American Red Cross, California Chapters",alt(alternate_spelling),97.4,97.4
American Nurses Association - California,11,American Nurses Associaition - California,American Nurses Associaition - California,canonical,98.8,98.8
American Civil Liberties Union Of California,11,American Civil Liberties Union,America Civil Liberties Union of California,alt(alternate_spelling),98.9,96.6
"American Association of Retired Persons, California",11,AMERICAN ASSOCIATION OF RETIRED PERSONS,American Association of Retired Persons of California,alt(chapter),98.1,99.0
United Domestic Workers of America/AFSCME,10,"American Federation of State, County and Municipal Employees (AFSCME)",United Domestic Workers of America - AFSCME,alt(chapter),97.6,81.0
"The American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO",10,"American Federation of State, County and Municipal Employees (AFSCME)","The American Federation of State, County and Municipal Employees (AFSCME, AFL-CIO)",alt(alternate_spelling),99.4,98.8
Service Employees International Union California State Council,10,"Service Employee International Union, California State Council","Service Employee International Union, California State Council",canonical,98.4,98.4
Physicians for Social Responsibility - San Francisco Bay,10,"Physicians for Social Responsibility, San Francisco-Bay","Physicians for Social Responsibility, San Francisco-Bay",canonical,99.1,90.1
National Association of Women Business Owners - California,10,NATIONAL ASSOCIATION OF WOMEN BUSINESS OWNERS,National Association of Women Business Owners of California,alt(chapter),97.4,100.0
National Action Network - Sacramento Chapter,10,National Action Network Sacramento Chapter,National Action Network Sacramento Chapter,canonical,97.7,100.0
Las Virgenes - Triunfo Joint Powers Authority,10,Las Virgenes Triunfo Joint Powers Authority,Las Virgenes Triunfo Joint Powers Authority,canonical,97.7,100.0
California Lawyers Association - Family Law Section,10,"Family Law Section, The State Bar of California","California Lawyers Association, Family Law Section",alt(alternate_spelling),99.0,97.0
California Federation Of Teachers,10,Cailfornia Federation of Teachers,Cailfornia Federation of Teachers,canonical,97.0,93.9
California Chapter of the American Fence Contractor's Association,10,AMERICAN FENCE CONTRACTORS' ASSOCIATION,Califiornia Chapter of the American Fence Contractors Association,alt(alternate_spelling),98.5,98.5
Associated General Contractors - San Diego Chapter,10,ASSOCIATED GENERAL CONTRACTORS OF SAN DIEGO,Associated General Contractors San Diego Chapter,alt(alternate_spelling),98.0,100.0
Asian Americans Advancing Justice-Los Angeles,10,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice Los Angeles,alt(chapter),100.0,97.8
American Council of Engineering Companies - California,10,AMERICAN COUNCIL OF ENGINEERING COMPANIES,American Council Of Engineering Companies Of California,alt(chapter),97.2,97.0
U.S. Green Building Council - Los Angeles,9,U.S. Green Building Council-Los Angeles,U.S. Green Building Council-Los Angeles,canonical,97.5,95.0
Southern California Association of Non-Profit,9,Southern California Association of Non-Profits,Southern California Association of Non-Profits,canonical,98.9,98.9
Sierra Club - California,9,SIERRA CLUB,"Sierra Club, California",alt(chapter),97.9,93.6
San Luis Obispo County District Attorney,9,District Attorneys,San Luis Obisbo County District Attorney,alt(alternate_spelling),97.5,97.5
San Bernardino County Sheriffs' Department,9,San Bernardino County Sheriff Department,San Bernardino County Sheriffos Department,alt(alternate_spelling),97.6,97.6
San Bernadino County Sheriff's Department,9,San Bernardino County Sheriff Department,San Bernardino County Sherriff's Department,alt(alternate_spelling),97.6,97.6
Plumbing Heating Cooling Contractors of California,9,PLUMBING-HEATING-COOLING CONTRACTORS ASSOCIATION OF CALIFORNIA,Pluming-Heating-Cooling Contractors of California,alt(alternate_spelling),99.0,82.8
Physicians for Social Responsibility - San Francisco Bay Area,9,"Physicians for Social Responsibility, San Francisco Bay Area","Physicians for Social Responsibility, San Francisco Bay Area",canonical,99.2,97.5
Military Officers Association- California Council of Chapters,9,Military Officers Association of America,Military Officers Association - California Council of Chapters,alt(chapter),99.2,97.6
Mazon: a Jewish Response to Hunger,9,MAZON A Jewish Response to Hunger,MAZON A Jewish Response to Hunger,canonical,98.5,86.2
Los Angeles County Inter-Agency Council on Child Abuse and Neglect,9,Los Angeles County Inter-Agency Council on Child,Los Angles County Inter-Agency Council on Child Abuse and Neglect,alt(alternate_spelling),99.2,99.2
Japanese American Citizens League - San Jose Chapter,9,Japanese-American Citizens League - San Jose Chapter,Japanese-American Citizens League - San Jose Chapter,canonical,100.0,82.7
Housing Equality & Advocacy Resource Team (HEART),9,HOUSING EQUALITY & ADVOCACY RESOURCE TEAM,Housing Equality & Advocacy Resource Team - HEART,alt(alternate_spelling),99.0,95.9
